inventoryItemCode,inventoryItemId,inventoryItemDescription,initialInventory,mov,value
4567079,6363,Chutney Sauce - Mango,4040447.1586,2645262.8308,1134648.2249
9566691,9359,"Cheese - Havarti, Salsa",6768498.1501,3162368.1142,8794220.5826
4435644,9559,Pork - Caul Fat,6993313.4956,9947836.6577,7176617.6052
6223801,8848,Appetizer - Tarragon Chicken,5413887.8694,8590007.3146,2136641.0056
9767769,6782,Water - Evian 355 Ml,8202640.2959,4877103.3065,7665212.1309
5305999,4767,"Yogurt - Blueberry, 175 Gr",8371053.0106,4455762.1465,5654505.3714
5104502,1896,Pastry - Choclate Baked,8038912.9664,4361452.9258,8027579.9369
7469243,5563,Pineapple - Regular,5063164.3071,3093375.5886,9592421.5098
5674983,5770,Butter Sweet,9998367.0512,2125245.897,6118794.0095
1057200,8994,Blouse / Shirt / Sweater,7149145.1585,2035903.8583,5901850.3964
8396277,2799,Beer - Muskoka Cream Ale,2407509.0223,2353615.5513,4724643.8535
9484767,9210,Steel Wool S.o.s,2385478.3656,9049816.1313,2195160.1059
2288984,3888,Pork Casing,7587629.968,9487529.4259,3529268.5464
2251700,4937,Bread - Raisin Walnut Oval,7228261.8395,2850756.2134,8763609.5135
9710018,5162,Pur Value,7438562.2237,3559860.427,9087711.96
4340826,3098,"Wine - White, Chardonnay",7482325.5833,6873547.9562,6473758.1541
7787405,7811,Gooseberry,6344020.1801,5495283.3959,4064919.1654
9423054,4544,Sour Puss - Tangerine,5559420.225,6756428.1939,2483987.8852
9401806,1798,Emulsifier,1552166.9571,2757754.1974,7012379.2042
6827163,3528,Flour - Masa De Harina Mexican,5520877.8885,8036350.1369,5389577.1104
9429132,7568,Appetiser - Bought,1294845.3821,8735170.2208,2797368.2283
4547190,6396,Madeira,4508339.3202,9231061.7455,4984420.7711
9050635,7312,"Wine - White, Chardonnay",3389890.5492,8567996.5447,5907820.0904
5325017,7789,Oil - Canola,1285386.4817,9889537.5425,5868037.0186
3611252,8339,Calvados - Boulard,1729165.8548,7517450.728,3172135.6859
1752401,9494,"Wine - Bourgogne 2002, La",2656791.8921,9557170.6237,8396250.2633
2748342,9512,Beer - Creemore,9858968.6738,9829688.7172,3148726.437
8233012,2830,Salmon - Canned,4072760.2986,5800281.7634,2381881.3931
1685115,4354,Puree - Pear,1884745.118,4230158.0946,1311930.6385
9770493,5505,"Mushroom - Trumpet, Dry",6854510.5717,2468249.2005,2626867.2755
4107217,9379,Chicken Breast Halal,5492846.7707,1485331.9285,9023639.4981
1211896,2620,Venison - Denver Leg Boneless,5599852.6615,8120981.4501,7285311.4531
5302365,6369,"Wine - Red, Antinori Santa",6018168.3769,1541640.9801,5804255.1734
4478283,1559,Mushroom - Chanterelle Frozen,4003136.8643,8088255.3467,5428544.7579
3629577,7651,Muffin Mix - Corn Harvest,6424705.5159,8443009.6574,2532819.4935
5168308,9290,Jameson - Irish Whiskey,7413704.3033,9991601.964,2195522.1603
1615212,9490,Salt - Table,4692036.4163,3737731.9206,5364342.0917
1248655,8987,Grouper - Fresh,4910665.7294,1417176.8971,2309215.7211
6707437,3785,Ecolab Digiclean Mild Fm,6344448.3961,7691254.2429,6054810.2952
7710540,6182,Veal - Bones,8854641.8531,8099927.4776,7357745.7272
8013097,6852,Wine - Rhine Riesling Wolf Blass,4346450.5578,8403213.8736,4622489.4285
6142771,7689,Pastry - Chocolate Chip Muffin,3464248.3842,9834657.7187,7746439.8684
9082547,7713,Apple - Northern Spy,8376474.4515,5790764.0266,4935325.5979
1104278,2160,Fiddlehead - Frozen,1005361.7759,7402283.8004,5024775.4879
3482974,8831,Beer - Blue Light,3199767.2966,9514624.2811,3075837.6806
1545055,6436,Plastic Arrow Stir Stick,2118263.3274,1217127.9749,9015934.0177
5353800,2246,Asparagus - Mexican,7715905.2773,7864533.9869,4538914.0967
9111336,1602,Beef - Top Butt Aaa,2121484.8059,6495259.4673,7345104.8138
4907922,4571,Wine - Chardonnay South,1333330.1629,2553561.4196,1788286.6451
3050610,4547,Yucca,1301347.3646,6950381.4995,8659948.5532
3353552,9398,Tuna - Fresh,6105959.7138,3286771.7302,8949372.8448
8666416,9993,Bread Base - Goodhearth,7101870.0908,2085379.3457,3135808.5495
8292097,7729,Beef Tenderloin Aaa,3289932.9442,6839029.6685,1777984.4237
4450166,8641,Sugar - Palm,4922730.0317,7077075.944,6526502.9904
8771203,1901,Bread - Pumpernickel,3199037.6657,3777733.0557,6975059.4372
3066063,4480,Tomatillo,9971664.7453,2748729.9889,2478342.3605
6007646,8792,Ice Cream Bar - Hagen Daz,9103890.1126,6788036.4923,9514898.1371
7472900,6941,Table Cloth 54x54 Colour,9909590.4582,5383959.3845,3608563.1792
7643077,7002,Lid - 16 Oz And 32 Oz,2361849.821,8753982.7068,7357633.6152
3391929,8291,Waffle Stix,2953283.8908,8739249.1424,7293055.1894
8144588,5735,Beer - Rickards Red,3815895.2184,1604626.5634,4858876.516
3141512,9399,Wine - Stoneliegh Sauvignon,1006046.1865,1812701.6005,5160106.425
6182989,6788,Gatorade - Lemon Lime,1462058.9733,3857800.5961,7953726.6968
9367709,6261,Wine - Casillero Del Diablo,9630687.3467,8916519.5433,8935259.7701
5710885,9832,Mountain Dew,8414209.6922,3847844.3926,4620243.7654
1791513,8709,"Oregano - Dry, Rubbed",5690535.3374,2733767.3719,9929748.8162
8983913,6498,Flour - Cake,4071896.5204,3067914.2398,5111187.5551
3029016,8326,Salt - Sea,5739987.0602,9830906.352,9915967.3171
6471281,1302,Cheese - Swiss Sliced,9963185.949,2822913.493,3513758.9946
9233790,9093,Cocoa Butter,6226838.7923,1235190.2894,2247284.0939
7803814,9275,Port - 74 Brights,1375809.7442,6812385.1767,9794532.4904
4731242,1639,Wine - Niagara Peninsula Vqa,9748066.7681,6853788.8694,2702769.5223
5459367,5714,Lobak,8274917.3942,5676259.7886,9396704.039
7663992,8336,Mangoes,6390932.1956,5005534.2834,3480007.9153
1417885,8178,"Soup - Campbells, Chix Gumbo",7013780.5458,8057316.6175,8990466.4044
2652183,6912,Tomatoes - Hot House,6235811.6798,4937794.6332,4863873.2137
2240189,4725,Tandoori Curry Paste,5612976.8452,8865184.2417,9778733.0843
3772658,6602,"Leeks - Baby, White",6810571.1425,8302527.102,1356488.5386
2295191,1886,Broom Handle,6242764.8524,1051612.0162,3125030.9056
6236118,4750,Ham - Proscuitto,8773572.924,3531381.1879,7474412.5949
5519172,4560,Coffee Beans - Chocolate,4571702.7599,3070046.3963,6117624.8459
9390014,2327,V8 Splash Strawberry Kiwi,4607883.1879,1908705.2112,3116582.5135
3370207,7200,Energy Drink - Franks Pineapple,2895428.7981,8610547.3795,2874035.2622
5344407,3273,Passion Fruit,4777614.8904,9492537.0312,2098519.5692
8373848,9372,"Sole - Dover, Whole, Fresh",5190744.9124,7195898.8911,7671989.7669
8285696,2208,Tray - 12in Rnd Blk,6942157.4073,3580537.2801,4951829.5841
6231852,1849,Cheese - Goat With Herbs,2650927.0561,6776916.6688,2763225.0913
1858557,5010,Puree - Guava,1853707.2391,3272696.2481,6290849.6703
6013257,1792,Swiss Chard - Red,5783198.4467,9457578.1166,8168978.7672
2024784,1390,"Wine - White, Lindemans Bin 95",9453334.1032,2118618.2924,9051528.5091
4819899,5136,"Pork - Tenderloin, Frozen",7364602.563,6422384.0576,9529216.796
8464297,2644,Calypso - Black Cherry Lemonade,8597594.5452,4455920.9572,2046309.3613
9668965,3615,Bacardi Mojito,3037525.1224,1769771.1564,3075269.1574
3297997,3766,Yucca,2795703.849,9903139.9026,6576586.9442
7596408,6774,Tuna - Loin,7714673.6243,3495176.3807,7033826.947
7250373,4620,Apple - Fuji,6024771.9873,8529966.6015,7264556.0777
6058966,3008,Table Cloth 62x114 Colour,8664129.4507,3276196.0262,7957278.1249
1574168,3641,Extract - Almond,5881952.7158,3819447.9281,6344719.465
6006251,7317,Mushroom - Portebello,1187996.2641,5936535.487,5764704.7489
6786699,5512,Pumpkin - Seed,7665109.3387,2199107.1464,7488765.5803
7177898,3557,Veal - Leg,2796330.1787,7030195.9698,7905762.9486
9686881,3433,"Tomatoes - Diced, Canned",5874913.2464,2894533.2591,2455868.1057
6876141,3404,Pork Loin Bine - In Frenched,8253254.8178,7386302.2379,3332165.6727
6882365,5123,Plastic Wrap,3081366.4024,9752402.0722,4181960.7691
7070454,8576,Soup - Campbells Chili Veg,5931648.8768,8883355.962,3759928.197
9554846,2250,Pastry - French Mini Assorted,4610912.7608,9284299.5714,2332090.0012
2198777,4722,Kale - Red,5198927.3501,6001270.5817,1522889.6621
3244468,2196,Appetizer - Chicken Satay,5615848.3807,2333937.8105,3223640.8938
1311702,8480,Chicken Breast Wing On,4161623.845,5058484.0,1173944.3418
9677152,8144,"Pepper - Black, Whole",5872692.5295,1039674.8006,9722646.1958
6876385,2505,"Artichoke - Hearts, Canned",8979647.4216,4355633.0822,6543021.6087
8330901,8785,Carbonated Water - White Grape,2174558.8894,8157959.1599,3596281.8117
8030294,1724,Chutney Sauce - Mango,7929886.5474,4213115.6525,4035630.9764
6199307,7643,Soup - Campbells Mac N Cheese,3473020.4045,7820052.5984,9786117.1758
6225821,3111,Flower - Dish Garden,9859032.6619,1153700.5396,2067915.4536
1309470,3738,Appetizer - Asian Shrimp Roll,3807711.7784,9403094.5647,5900110.0255
3761572,6651,"Wine - White, Chardonnay",5217891.549,5413184.3589,8206839.1348
5059238,3545,Bread - Ciabatta Buns,2638593.5508,9988391.8603,8486183.8604
9088581,3401,Sauce - Ranch Dressing,1687860.0277,3323256.3882,4310270.9711
1630833,3699,"Oil - Food, Lacquer Spray",5672263.0223,2982936.0339,9068333.5953
2754750,8124,Glaze - Apricot,2410184.5499,9336887.7193,5597156.4956
8799359,6437,Cup Translucent 9 Oz,8778302.2418,3626734.7708,9961102.0287
2157709,2687,"Lobster - Baby, Boiled",4840995.8242,6577169.834,9682237.9726
9296456,6352,Lemon Tarts,8004859.8567,6685179.2575,5267162.8915
4870035,8150,Tomatoes - Orange,3095545.1223,1991454.9745,4066450.9059
3469901,6531,Asparagus - Mexican,2295229.3755,1395680.2589,6062851.9459
8215586,7952,"Soup - Knorr, Chicken Gumbo",5304476.1675,3868784.9452,1624111.3389
2489024,5041,"Pasta - Penne, Lisce, Dry",7666607.8031,2438142.3949,1474179.8699
3346689,4589,Oyster - In Shell,7163288.9812,7958081.5347,2414345.8851
4540175,4835,Filter - Coffee,6369318.1475,5740447.6162,1304460.0585
6535155,6201,Chicken - Bones,9953019.2653,6729637.2749,1819245.8566
5392172,5198,Capon - Whole,5254663.4063,3808121.1346,5164405.1288
7107146,1556,Cheese - Colby,2031459.9518,1123553.4157,7605423.2576
3248229,8055,"Wine - White, Mosel Gold",7660522.2596,7521637.6837,7476239.5073
8328098,4287,Chicken - Whole Fryers,9515143.9395,8401293.4764,6430530.0957
2056803,6755,"Chilli Paste, Ginger Garlic",1456911.5639,8548349.5727,2584920.8093
2802746,8335,Eggplant Oriental,6613889.7168,9070597.1439,6082826.7244
5157735,6094,Wine - Beringer Founders Estate,2479156.448,2702027.4923,3004198.9689
9253665,8759,Parsley - Fresh,4368481.862,4406188.3079,9836353.717
1040156,6218,Cheese - Perron Cheddar,1648098.6476,7078445.2077,9649705.397
3132021,4214,Soup - Campbells Beef Stew,2912675.6705,8888428.2355,5036290.9419
8637508,9934,Sole - Iqf,5086406.7719,4370976.642,1599846.368
9267273,5883,Cheese - Swiss,7187438.0753,8319220.1676,3066513.6535
4243937,6390,Danishes - Mini Raspberry,6828723.7258,4721704.185,4199671.6921
6199345,3106,Beef - Ground Medium,4266189.8998,1369334.1772,7628424.2393
4785926,8479,Lemonade - Pineapple Passion,1215010.3143,9944472.0974,2334364.49
1352271,8515,Veal - Kidney,9375543.6506,3298388.4617,5926589.8822
1713669,4193,Ice Cream Bar - Drumstick,4046773.4129,4168548.1584,3953684.117
8600939,3419,"Pepper - Black, Ground",2718963.517,2183865.0902,3809974.4811
9014655,9853,Burger Veggie,5790980.4091,6934165.3799,9083767.9491
6882333,7627,Pork - European Side Bacon,9166898.9376,9008074.1175,8377414.0867
8204948,9892,Pate - Liver,6083878.5908,4271338.6957,1636201.9462
4845865,5663,"Tarragon - Primerba, Paste",2154905.9761,7161424.1084,7840831.4863
7565185,9206,Tea Peppermint,2909176.6905,4645419.1008,8486701.1636
3275484,3021,Grapefruit - White,2343777.6117,6272386.0277,1811775.846
2115295,2782,Milk - Chocolate 500ml,6154029.1362,6286347.043,5545089.0865
2856133,1431,Cookie Dough - Peanut Butter,7816071.6679,9229689.6401,1507090.1638
2276472,1308,Flower - Commercial Spider,7947635.424,7871279.4294,7308322.8177
2955174,2645,V8 Splash Strawberry Banana,6557651.0068,1151291.6655,7095737.8648
3328434,1725,"Liqueur Banana, Ramazzotti",3583458.7601,9298634.0355,9310991.6871
