itemPurchaseId,businessDate,itemPurchaseReferenceNumber,itemPurchaseComment
1895,2025-04-22,,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
9735,2025-03-31,,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
1021,2025-11-26,9448,venenatis turpis enim blandit mi in porttitor pede justo eu massa
1816,2025-06-20,4841,
1827,2025-06-16,8186,
8977,2025-12-04,,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
8390,2025-01-26,1634,
3821,2025-03-16,,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
6571,2025-12-29,8791,
6130,2025-01-11,,
6098,2026-08-09,,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
9512,2025-03-11,,
2818,2025-01-17,7695,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
9068,2025-04-24,,
7816,2025-10-23,,velit eu est congue elementum in hac habitasse platea dictumst morbi
7833,2025-11-19,,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
3883,2026-05-25,7070,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet
4090,2026-06-01,,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
1760,2025-08-19,,
7669,2026-03-13,7733,
8481,2025-09-18,,
4960,2026-01-13,,lorem quisque ut erat curabitur gravida nisi at nibh in hac
8275,2025-03-01,,
5692,2026-07-13,,
3187,2025-07-31,,
6885,2026-01-28,,orci luctus et ultrices posuere cubilia curae mauris viverra diam
1716,2025-07-18,,
6962,2026-08-09,,
7322,2026-08-17,,
1208,2026-04-10,,
7853,2026-05-15,,
4447,2026-01-13,,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
9689,2025-05-25,,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
2794,2026-05-18,2614,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui
2800,2026-02-04,,
5008,2025-03-27,7197,
7591,2025-04-27,3536,lacus at velit vivamus vel nulla eget eros elementum pellentesque
7824,2026-08-12,,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc
5453,2025-07-25,,
7303,2025-04-05,,
7195,2026-06-01,,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat
9405,2025-05-13,,congue diam id ornare imperdiet sapien urna pretium nisl ut
3955,2025-07-05,5265,
4922,2025-03-23,,
3015,2025-07-29,,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
8234,2025-03-26,,
5040,2026-08-12,,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
2918,2026-03-03,,
4024,2026-08-23,4434,
6036,2025-01-26,,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
4162,2026-07-11,6069,
6147,2025-08-14,9945,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
5832,2026-07-22,,
5762,2025-09-27,,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
6667,2026-03-13,4856,
7904,2025-11-28,,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
7298,2025-05-26,3786,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
9887,2025-03-04,3508,
5711,2025-05-28,4232,
8423,2025-10-27,1928,
4411,2025-12-05,,
5928,2025-07-07,,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis
5238,2025-09-12,,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
7721,2026-08-13,3440,
6984,2025-06-13,,
4710,2026-01-27,,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
1981,2025-08-30,,
9270,2025-10-05,7092,
2803,2025-06-19,,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
1955,2025-09-29,2686,
9038,2026-05-01,9900,
4466,2025-03-31,9119,
9207,2026-01-19,9907,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
2680,2025-08-15,,
4398,2026-05-21,8177,
4480,2025-10-13,,at nulla suspendisse potenti cras in purus eu magna vulputate luctus
6460,2026-04-10,,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
1483,2025-06-17,,
4041,2025-06-30,3026,
7587,2025-04-18,,
4448,2026-03-23,,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
7139,2026-02-06,8422,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
2040,2025-09-28,,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
1981,2025-03-24,8640,
3883,2025-11-18,,
5793,2026-02-22,,
3521,2025-01-27,7654,
9470,2026-04-02,,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
2563,2025-11-15,7558,
1950,2026-04-28,,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
3447,2025-10-20,5522,
6200,2026-02-14,,
6173,2025-02-25,1275,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
8168,2026-05-15,8535,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non
8137,2026-07-06,,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
5061,2025-06-20,9506,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
5453,2026-05-19,4185,
6406,2026-05-12,5756,
1382,2026-08-07,,non quam nec dui luctus rutrum nulla tellus in sagittis
6900,2025-03-11,,
2574,2025-01-27,,
9978,2025-07-23,6269,
4730,2026-02-19,8250,
1798,2026-01-03,5147,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
6697,2025-07-13,2511,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu
5805,2025-11-01,,
4551,2026-06-17,8263,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc
5644,2026-05-16,,
6386,2026-04-21,,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
2297,2026-09-02,,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
1294,2026-02-28,7344,
7002,2026-03-22,,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
9726,2026-05-16,9632,
6806,2025-04-26,2477,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
1027,2025-07-01,1630,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
7469,2025-04-21,,
6264,2025-11-25,6117,
6480,2026-07-12,,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
5211,2025-09-19,,
1867,2026-07-04,,
3186,2025-01-11,4880,
1301,2025-12-03,3362,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
8532,2025-05-19,3254,
5752,2025-07-22,,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
2993,2026-02-20,,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
1918,2026-07-15,9304,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
1532,2026-05-24,7114,
1327,2025-05-04,7108,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in
2075,2025-09-19,3449,
3739,2025-05-10,,
3312,2025-10-13,,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
1532,2025-06-02,,
4904,2025-11-28,9332,
2381,2025-01-21,8524,
9466,2025-03-07,,
5529,2025-03-06,3511,
9133,2026-06-05,8994,
1182,2025-01-06,,
8975,2026-08-24,,
7069,2025-10-05,3930,
3491,2025-01-31,4338,
4522,2025-09-02,,
6633,2025-07-16,,
4742,2026-04-13,,
8998,2025-03-02,,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
3636,2025-07-24,,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
8148,2025-12-31,,
5132,2025-04-18,3535,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
8791,2025-05-30,,
6943,2025-12-15,3955,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
4239,2025-10-09,2808,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
3937,2025-04-29,,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
5046,2025-11-08,,
5447,2026-05-23,,
2996,2025-03-15,,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
5647,2025-10-15,,
3051,2025-05-10,6308,
1928,2026-07-31,6176,
2221,2026-02-26,9302,
2804,2026-05-23,,
3983,2025-04-11,5726,
2926,2025-03-13,3364,
2257,2025-05-02,1017,
1890,2025-06-20,,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
7211,2025-01-21,6286,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
4078,2026-03-15,9123,
7690,2025-06-24,,
9217,2026-05-02,,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
5474,2026-07-21,8016,
2986,2026-08-26,6011,
1838,2026-05-22,,
2285,2025-05-04,,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
2431,2025-01-03,,
4561,2026-06-15,,
1086,2025-12-30,,
9790,2026-02-27,,
3654,2026-07-17,,gravida nisi at nibh in hac habitasse platea dictumst aliquam
1137,2025-07-22,,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis
7132,2025-01-14,,
8561,2026-04-22,,
8520,2025-10-29,,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
7351,2026-05-10,,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
6696,2025-06-26,4995,et ultrices posuere cubilia curae nulla dapibus dolor vel est
6079,2026-01-24,,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
4258,2025-07-04,,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum
6160,2026-06-17,,
4488,2026-09-01,,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus
9632,2025-08-10,,
7301,2026-06-15,,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
7249,2026-07-23,,
1482,2026-04-02,,
6178,2025-06-19,,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
6755,2025-07-19,,
5114,2026-03-03,,
8699,2025-10-16,7807,
2689,2025-05-15,1147,
5889,2025-08-10,,
4632,2025-09-17,8648,
4680,2025-11-10,,
1691,2026-01-15,6085,
8886,2026-01-01,,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
7283,2025-06-28,,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
2170,2025-09-21,9111,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae
5717,2025-07-06,1369,
7221,2026-02-22,1055,
7730,2026-03-29,6036,
2800,2026-01-20,,
7000,2025-02-04,4697,
6737,2026-01-12,4024,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a
6932,2025-09-08,,
6325,2025-07-04,2358,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
3532,2025-08-24,,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
2720,2025-06-16,,
5730,2026-02-12,,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
7658,2025-07-27,5123,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
2795,2025-05-11,9149,
1012,2025-01-15,,
5906,2026-03-30,3320,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
8812,2025-04-19,,
6614,2025-01-17,3142,
4478,2025-01-20,1984,nulla nunc purus phasellus in felis donec semper sapien a libero
8475,2026-05-21,,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
8590,2025-02-02,,
7224,2026-07-18,,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
6660,2025-11-10,4467,
7902,2025-06-29,,
8819,2026-05-23,,
5795,2025-03-20,,
7657,2025-06-26,,
9809,2026-05-24,7778,
3573,2025-03-06,,
8587,2026-05-23,,
5542,2025-02-07,7853,
8175,2025-11-08,7789,convallis eget eleifend luctus ultricies eu nibh quisque id justo
9098,2025-12-01,,
8870,2025-02-16,,
5370,2026-01-06,,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et
6161,2025-02-20,,
5171,2025-05-31,,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
1420,2025-06-03,,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
9056,2026-01-10,3833,
2113,2026-01-16,6059,
9080,2026-07-14,,
8100,2026-07-22,,
5315,2025-05-01,,
1591,2026-06-05,,
3230,2025-01-17,,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
5581,2026-02-18,,
1468,2026-02-10,,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus
5730,2026-01-19,,
1376,2025-04-26,,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a
6785,2025-09-11,,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
9678,2025-08-08,,
5629,2025-11-28,,
9837,2026-04-13,,
2685,2026-04-13,,sapien urna pretium nisl ut volutpat sapien arcu sed augue
5324,2025-07-27,,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
8652,2025-05-16,9938,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
2258,2026-03-17,9054,
1043,2026-02-26,4150,
9671,2025-07-14,,
9716,2025-12-25,5761,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo
9758,2025-09-27,,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo
4145,2025-10-14,,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
5060,2025-09-01,,
2772,2025-03-30,,
1119,2025-07-19,,
5809,2026-01-01,5885,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
